product_id,product_name,launch_datetime,category_id,description_word_count,has_video,screenshot_count,domain_type,pricing_model,featured,total_upvotes,total_comments,total_followers,total_views,success_score,success_tier,launch_date,launch_day,launch_hour,launch_month,launch_year,launch_quarter
1,AppCloud,2025-04-13 19:32:34,2,109,True,2,.co,Free Trial,False,4,0,0,88,2.4,High,2025-04-13,Sunday,19,4,2025,2
2,Logic,2025-01-21 19:32:34,10,152,False,5,.co,Free,False,5,0,0,97,3.0,High,2025-01-21,Tuesday,19,1,2025,1
3,SuperSync,2023-06-30 19:32:34,12,104,False,3,.io,Free Trial,False,3,0,0,57,1.7999999999999998,Medium,2023-06-30,Friday,19,6,2023,2
4,MegaAI,2023-05-31 19:32:34,4,88,False,10,.app,Freemium,True,23,27,0,458,21.9,Viral,2023-05-31,Wednesday,19,5,2023,2
5,BotWave,2024-11-06 19:32:34,6,113,False,4,.co,Paid,False,3,1,0,55,2.0999999999999996,High,2024-11-06,Wednesday,19,11,2024,4
6,MetaVision,2024-04-02 19:32:34,12,105,False,10,.co,Paid,False,9,5,5,174,7.3999999999999995,Viral,2024-04-02,Tuesday,19,4,2024,2
7,DataScript,2023-05-26 19:32:34,2,52,True,4,.app,Free,False,3,1,0,58,2.0999999999999996,High,2023-05-26,Friday,19,5,2023,2
8,App,2025-01-12 19:32:34,7,99,True,6,.com,Freemium,False,6,2,2,131,4.3999999999999995,Viral,2025-01-12,Sunday,19,1,2025,1
9,NextMeta,2025-01-10 19:32:34,3,96,False,10,.co,Free Trial,False,0,0,0,0,0.0,Low,2025-01-10,Friday,19,1,2025,1
10,NextSync,2025-03-24 19:32:34,3,83,False,4,.ai,Freemium,False,3,2,0,59,2.4,High,2025-03-24,Monday,19,3,2025,1
11,PixelSpark,2023-07-04 19:32:34,11,131,False,10,.tech,Open Source,False,4,2,0,79,3.0,High,2023-07-04,Tuesday,19,7,2023,3
12,Hub,2023-05-14 19:32:34,2,76,False,2,.tech,Freemium,False,0,0,0,0,0.0,Low,2023-05-14,Sunday,19,5,2023,2
